4 100000
zzzccacbbab bcbbbaba aaaacac caaabca
zzzcbb cbba ab aac
zzzcaaaac ccaaaa ccb babc
caac bbacab aacacab zzzbaacaab
caab aabcacb accba zzzabbaccb
zzzaacbccc cbac aabbabb baaacc
ccbba zzzbbcac cbcb ca
acbaacac abaaccaa acbb zzzcbaa
abcbc zzzacbccbcc abbaca cabbabbb
cccacccb zzzbbcaccba aba bbabbaaa
bc caa bbc zzzcca
aba aacbbbcb ac zzzaaababab
cbccaaca zzzcacaccbc aaaaaaab acaba
abbbaccc ccbaac zzzaaaabb cacbbbac
zzzbbbcbac bccabac babacb cacacc
ccacbbb bbbbcbc cabaa zzzabbba
ccba zzzaaaaa ccbaa abb
baa ccc bbacc zzzbac
cbacac bbbcaba zzzcbaacba acaaaaac
accacbcc aa abacc zzzbacbbbbc
babcbb cbaca acc zzzcabaac
abbccab ababcb zzzbaa caa
zzzacaacac babcaba bb ca
bccaab cbba zzzaabccc bcc
abaaabbc cbbacab zzzbccccbab ca
abcaabbb bbcaccb ccbacbc zzzbccbcbcb
zzzcc ab ccaaccca bacaaa
bacaa bacc bbbca zzzbbcc
bc ca zzzaa baacb
aac ab cbaabbc zzzaabcbbc
abaca zzzaabcacc bc bcbacab
aaabb zzzcbbcb accac ccba
cbbcbb zzzbbbbbb bccbcbb ccb
abcbaaa bacaabbc zzzbcabbbba ccbbacb
caacbbb cc zzzcbbaaac bc
cacabac bcab bbcbb zzzbacbacb
zzzbccbcabc bacbaccb acba babbcb
cbacaa zzzaccab aaacc ccbcb
cccab cacaaac bc zzzcc
baabbb zzzabaaac cc bcac
cccbbbc zzzbbcacbab aaaa cbccaaab
aa ba zzzcb baabcaa
acb zzzacabb bcabc acac
caaaccb aaaa zzzaaca abcb
bbbbacb zzzcaaabcc ba aa
ccacb zzzaaaaa bacabbac caacc
caabcba zzzbbcaaaa aa aacaac
bbbaabca bcc bbbb zzzabbb
zzzcaabcb bacb cbabacaa bbacab
bbc bbbacaa zzzbbcbcbc bccabaa
ccab zzzbabcacc ab bcccaca
cabaa abccab zzzbbb acb
cbab zzzcbcc ccabbaaa abc
cacccc zzzccccbb acca ccacb
zzzabcb bcba ba ba
baaacbcb cc acccaba zzzabccaba
acaccbcc zzzaacaabc aabbacb bcabcaab
bcaacbcc ababbab zzzbbabcbac caaa
abbcba bcbabb cca zzzacc
ccb bacbcac bbc zzzaac
accbcb ccbbabc ba zzzcc
cb bbacbbac zzzcc abcb
bacac cbccaabc zzzbacbaacb bbcaa
aabababc bba zzzbbbbbc aabbcc
acbaab bcbac aa zzzbc
zzzacaaaaca bbac babcacbc bcccccca
zzzbba abcab cbb aab
ba aa aa zzzcc
zzzcbccbc cca baaacbbc accbbb
bcabaaca zzzbaccbb bcbbca aacacccb
zzzbaaaac ccca bcbcac cabbaaac
aa baaacbc abccbc zzzcbcabcc
baaba zzzcbabaaa bbcccba ccbbabba
cbbc aaababbc zzzbabc cab
cbcbbc aaab zzzaccccc bcb
cbcaabcb zzzccba ccbcbab aabb
bc cc baacaac zzzcc
cacaacaa abbcbccc zzzbcacabcb caaba
zzzbcabacba acacacab acaac bbcbb
zzzbcbb baac cac ccbc
zzzaaaabbb cabc bbcbc bbabbac
bcb cacbcbc acbccaa zzzacc
caabb ccccbcac zzzccaca cbca
aba zzzcbc ccaba bbacaca
ab zzzca ba cca
bbaac bbbc ba zzzcb
aacacaac acbbcb caacbcaa zzzacbacabc
cb baabbbcc cacac zzzaccaa
bcacaaca zzzaaa cbc bcc
ccaabb zzzaaacac bcc bbacac
bb zzzaca bac bcab
baaaa aaaa zzzaccaa ccacca
zzzac cbaaacaa bc babbbaac
babcbc bbbbaca zzzabaaac baabca
bbc bcbcba ccaccbb zzzcbcaaa
cbccbbbc zzzaabbbcaa aaab bcbccbac
aabcbacc zzzabccabcc abbc baaaaca
abacc zzzaaa bbb bba
zzzabbba cabacabc caaaa bbaca
ccbaac cbbacaaa caabc zzzbcccbbba
cc zzzbcbaa ccaba aabca
abcc ccaccaca accab zzzbbbc
bcbb cbaa ccbaa zzzbbca
bcacac bacbcaa aacaac zzzabacaaa
abbc acccba baabaa zzzacacba
aca acccbab cab zzzabc
zzzbacaa acacbbc aaaacb babbb
aacbaa zzzacbacb bacbbbc ccabbcb
zzzbaaca bbcab aaab bacc
ccb cbac zzzaaaa bbc
zzzbcbbcbb bbcbbcb caa cabacb
zzzabca cab cccaaab cacb
accbbbc zzzbbcbcc abaacbcc bcaabb
aacac zzzab aab ab
cbc cb bcbc zzzca
zzzcaabbca bcbcb accacbc aaccabbc
bbbab zzzaacca aaaaaba acbca
bbcbba zzzbaababa acaaabc cccabcca
bbbba ccca zzzccccc cbbaaac
cbbbbbb cbabab ab zzzab
bbabbc bac cc zzzbabccb
cca zzzbb ab bababb
aabccb cacaba cbbbb zzzacabbb
bbcab zzzbbaaba bbbbcc bbacc
cbabaa bb zzzba acc
zzzacacabc bcabac baa baaccba
cbaa cb cbacac zzzbabcca
zzzaccb baca ababbba bbbac
zzzaacac acb ccaaa abba
baaacbc bccbacbc zzzabccacca bbccbbc
bbbabbcc cbbb bcbcbb zzzbbcbbc
zzzaccbbb abab bbccac bcbcbb
ba zzzbb acacbbaa bca
cacbbac cacbabbc zzzbaaaaaab aa
bababcac abbcaab acccccc zzzccbcaab
bcbccb zzzbbb baacb bbc
bcbc bccb baa zzzaaac
aa ccabaa zzzcbcccb aabacc
zzzaaa acbbbc baa aacbbc
acabcc cb zzzcb babaca
bca zzzbc bbcaacc ac
zzzbabba ababc bbabb acabbbc
bbcc aa zzzabcb ac
aaa cbacc baccbc zzzccabb
bcaba zzzcba bcc abbcaca
bcbab zzzcccbc bbacaacb bbccab
cb cb aabb zzzccaa
bbbc zzzcaabac ccaaab bcc
bbcc ca zzzcc bacacbac
zzzbac aab bbb cbb
zzzaaa abc cbccbaca cbbba
babbbaa zzzbcbbbca bc cccbbc
cccccccb ccbcbca zzzbbcabab aaabbaca
zzzacc cbbcbca acccabcb cba
baba abc zzzaca ba
acccac zzzcbb bcc baa
cabbcbcc zzzcababbca baaab bab
cbbac zzzaabab bcacabac ba
bb zzzbb acabba ccaabbb
aabcac acaacca zzzbbbbbc bb
baaccb zzzbcbbac aabbaa cc
aabcabb bbaab zzzaabcbaa cb
bca zzzbccba bcabb babbab
cab bbaca zzzbacbb cbcaaac
caabc accc zzzaaabc aaa
zzzba bcbaaac cbbcaa cb
aacacbac bbcaaa babbbccc zzzbbcbbabc
ccbabb aaba zzzbcabaa cccaabaa
baaca baabca cccabbc zzzbabaa
cc bc zzzcacccab abcabca
abbbcbb ccca bcbbbbc zzzaaaccca
acaa caa cbcacaac zzzaaccaaca
bcab abaa zzzbbbb cbcbacca
acaaba ca zzzaa bacb
cbac acaccaca abcb zzzcacb
zzzbbac cacabcac babacccc abba
ba ccc zzzaa ba
bbabbcb zzzbaccbba cbacbbc cb
cacbb baab zzzcabc baac
zzzba cb cbcbacca bac
accaca cbcaba abc zzzabbbbb
baccb zzzccba cb aaaa
bbbcaab zzzbcbbbca bc bcbbaba
abbc cccca zzzbacca aa
cbabaac ccabccc zzzcbccbab cccc
aaca bc acc zzzcbba
caaa bcaca zzzcccc bcbcacaa
zzzbcaaba cabccac cabba bbcacb
acca cacccbbb zzzabca aaaccb
ccacbaba zzzacbcccbb caacbcba acbc
bbbc aba bcc zzzcaab
aaacb zzzbcaab cbb abccc
aabba aaba zzzabacb cabb
zzzabab ccccabbc abcb cbbccbbc
zzzbcacbbcc cccbaaac cbc cbaacbc
cb bcabbba zzzbaacb abbaa
bbbabc babacb bb zzzcbbbbc
bcccccbb zzzacaaca baccca ccca
aaacbb aaabcac babac zzzbcbcc
zzzacaaac baacac abac cacabc
bbb cbacbacb cbcbbacc zzzbba
bc cb zzzbc aacabb
zzzaaaacbab cabcbab aaabca cbacccab
aabacc bacca bbcbabca zzzcbbabbac
bacacb cbaab zzzbacaa bbbb
cbbcc aba zzzbbcbb aaccbab
abaac cabaacb aa zzzabbcacc
baa bcba zzzcba bb
babaccbc cabb cbabbcc zzzabbccac
acbb caaabbba cacb zzzbbbcbbac
babcbaab bbaa aacbca zzzccbcbbac
cacacc caaccb zzzabbcba cab
cca zzzcccb ccbacaa cbcb
abaa zzzcbba bccccc cacbacbb
aaacbba aacbc aaacb zzzcaabb
ccabcccc ba zzzbab bca
cbaaa zzzbcbcbab cbbcabcc ccaccac
caaacbcb cbbc ccabccba zzzabcbcbcc
ca aacbbcb zzzccbcbcb ccb
zzzabca babbcabb ac ccbb
cc zzzac bbca abcc
caccca cc zzzca aac
cbcbbcab zzzaabbbcaa ca cacacb
babcbbc bbbb cbabcca zzzbcca
zzzaacba acbaccc acaba cbcccca
ca cba ab zzzbb
bb abcc zzzccbbc baabb
baa ccaa cbbabb zzzaabbba
zzzaa ba caababc bcbc
zzzccba baa acaaa cabb
zzzba bbccbb cc abbbcb
ac zzzbbcca cbbcb aaaab
bac zzzaaa cab abbacc
cabbcbbc zzzacaabccb bbaaa acabb
bbbaaa zzzacbccc cca cbaabc
abacbba zzzbccbbaa cbab accbabc
aabaa bbbbc zzzabcbbaca aaaababb
zzzaccabc bbbabc abba cc
bcb zzzaabaa bbbba cbba
zzzcabc bcccbb bcabbabc baba
zzzaabc cacbcbc ccba acac
zzzbc cbbc ab cababbc
zzzbacbc cba bbbbcb ccbcc
zzzaabacc ac bcabbc ccbcbbb
zzzaa aababca bb acbcbca
cbcb zzzbbc abc bbb
caab baac zzzcccc cabcbabc
bca cccaab abcbbbcc zzzaccaccca
zzzaaaa aab abcc ccccccca
aaacccb cbb caabccab zzzbbabcba
cacaccb cbaba bbbac zzzccabb
zzzcaabaac abaaaac babca bcaaaaca
ca acacc bccbcbc zzzcbbcb
zzzaacaccb bcc ccbc cbbacaa
cabacaba cbb zzzaacbacba cacc
cababb zzzbaacc bbccbca cabac
cbacba zzzbb bb cbbcbcc
zzzacbbcaca bbbcbbab bccbbcab baaab
bb bba bcacac zzzbba
cbaa zzzbaab acc abac
aacc zzzacbccac aabbcbc ccbbbaaa
zzzbccc bbca bba ccab
ccaba cbcbb zzzbbaab cbbaa
cb zzzabbababb cbaaabbb acbb
cccccab bacbbccb zzzacccbbcc aa
ab bbbacba acccaa zzzaaabbcc
cacbcbb zzzba cb ba
bb aaabaaa zzzcbcac cacaa
cb bca zzzaa cc
bcaabccc cccc cccbccca zzzbaab
zzzaacaccbb aacc bccbaaca baa
aaca zzzbaca aacb cccc
zzzcbaac bcb ccaca acbc
zzzbb ba abcccb cabcabb
bc zzzcacbcc abbb bbaabb
zzzacbbcac caabccb ca cbabc
bc cbc bba zzzbaa
bb ccacbcbb zzzbbacbca abaabac
zzzaacbbac bbbbbc cbcaca cccccac
cbcca zzzcbcbc bababa acca
acbb aaa bca zzzaab
bababb zzzbc cc cb
acb babbcbb zzzaac acca
acabc abacbbca bb zzzaccccbab
acac aacacba zzzbaab baa
zzzbb ba bcbaabac ccb
aca zzzbbaabcbc caabaca abbcbacb
aaac zzzcabc bcab bbaa
cbba caccbbb ab zzzbbca
zzzab cb ab aba
bccb bbcacb bbaba zzzcccabc
abacbbba zzzbbca cbb bbca
ca ac zzzbbba bbba
abcabcc zzzbabaaabc aaabccab cbaaaa
bbabccb babbac cbbbbcb zzzbabbbca
ab zzzabab abab bab
zzzaccca acccc aabcc ccb
zzzbca acaccbc bca aabc
zzzcacbaa cbc bccbaabb aabaac
bbcaba acbcac abcacabc zzzabaaac
aaabccab zzzcc bbaa cc
abcbb zzzabbabb aaabaa bba
zzzab abbaabb ccbacbb cb
bcaa zzzbbbc baccbaba bbccccc
ccacabb zzzbbccbb aaaaba aac
acacbca bbbcbbc zzzccbccca ccb
zzzacbcab bbabab bccb bbca
ababcaa zzzbaaaaccb bc caaaaacb
zzzcbaaaba bbaabbc bc bbca
zzzba babbac cbcabb cc
ccca zzzacbb abbbaa bcbc
bacbcaca acbacca acac zzzbbbb
baab bbcb zzzcc ba
aabbbb abcbbbac cac zzzcbbbca
bcaabc baba bc zzzca
ccb abbcacb cacbb zzzccc
baa ccbb zzzbbb bcba
bbacbacc zzzbc aaabbc bb
bcacac zzzcbb accbbc bbb
ab cc zzzba abba
aaa zzzabcba abbbcb ccccb
zzzabbcabab bccacac bab cbbabcac
zzzcbcbca aabc cccba bbcaab
abbc zzzaaac aaacc abccba
ca bbbbcc cbacaa zzzaccaca
cccac zzzbcac bacb baa
bbab abacba zzzcabc accaa
zzzacbcaab aabc bcbcaaca bbcbcca
ccbcbcbc cbbb bcabccac zzzccba
caccabcb ca zzzba bbaabb
zzzcb babcb ab ab
abaa cbaac zzzaaaca bcaaa
caa zzzabb baabbab aabaca
zzzcb caccabcb bc acbbc
bcbcbbac zzzcabacc ccabab abbbabba
cbaacbab ababc cbc zzzcbc
cabcb aacc bcacbcac zzzbcaaaaac
bbcaacaa cbaaabab babb zzzaaabacca
cca cbaa zzzbcab bac
ab babcca zzzaabaaa aaabb
aabcb abcacb zzzbcbaaab cbbaccc
zzzaccacab aaa bccaaab acbbbbac
bcc aa cbbaaaca zzzaba
ab zzzcc babcbbba abcaaa
aa cabb abaccba zzzbaca
zzzbcabbbcc accacacb bc cabbccc
zzzbb bbcca cab ba
zzzcabacacc bbcbbaac bacc aacccabb
zzzacbcbc cacacab cbabcc aacacb
abababba ababc zzzbbcbaabc acc
cacbaac bba cbcbcbb zzzcbccaba
abbb zzzcab aaa bcab
aaacbc aaabcc aaacba zzzbbbccb
ccbaa abb zzzcbbb bcaa
cc accbbc ab zzzaaccca
zzzaacb cbaa baacbbb cabcb
zzzacabb cbbccaa cb bbaab
zzzbbc cbcabaaa cbb ccacccb
abcccbba aabbc aaca zzzcaac
bbac bacccac zzzbbacccb aaabb
acccc acaba bbcacbac zzzaacbbacb
ccbbbbc cccbc zzzbbacb cba
zzzbbbb bc cbcb ab
babc abbbcbb aba zzzbbba
bcbcccba zzzaacacbc bbccbbb bcbcb
cbaacb baaaaa acaac zzzacaaa
aaca abaaa zzzaaac bbaccb
babb zzzaa abbcacbc bc
cbabbcbc zzzcabcaaac bbb cc
zzzacc cbba acaaaac cba
abbcac accba aabcc zzzaaccc
ba zzzaa cababacc bcaa
zzzbabcacca cbb baaa ababcbac
cbbcbc bbbcbb bbaaa zzzcabbb
zzzaab acab bca babccc
ccbaabcc ba zzzaa bcba
bbcbc cb bcacbc zzzaa
ababca bacbbaa zzzccabaa bbcbc
zzzbbacb bacb cb cbaaa
acac aabb abbccba zzzbbcb
acacb baaa bbbbacac zzzcccccccb
zzzccccabb ccccaac aabccb cabcabc
acbccbcc zzzaabbbbab bcba bcc
zzzcbbcaca cbacaca cbacabc bacabbbb
aa zzzcc bcacca abcb
acbaabcb zzzcaababbc bcacaabc ccbbb
bcbbab cbacaab zzzccbbbab abcbabcc
bcccabab zzzbbbcacb bbababac aaacaac
bcac bc zzzcb baacb
cbaaac cc zzzcabcbcb cbaacca
cbbbcbac zzzcba cccb acc
zzzaaabcbb bac acca cbcbabc
ccc cb zzzaa cccb
zzzcbabbacb ccbbaaaa aaac cbccb
acbab ccccbc zzzcccbb ccbcabca
bb bcca bbbccaaa zzzaa
abc aabc abbabba zzzabc
zzzacccab aa cbacbc bab
bcca aabcbbaa cc zzzbb
bbccacba cccaaccb ccb zzzabaabaab
bccacccc zzzcbbbbb bb cbccab
baa bbabcaaa bc zzzbc
zzzbbaaaaaa bbaababa acbc aaa
cccab zzzbacabbca ab accbbccc
zzzcb bcbcb bc acccc
bca aab zzzacc ccabaca
bcacbcb acb acbcbbc zzzbaa
aaab cca zzzcbbc bbc
cabaa cabbbb bbbaa zzzccbbc
zzzaaacbb bcccbc cab aabaaaac
ac accab zzzbc abbcaa
cbcbcc zzzacc abbacbcc bba
zzzccacb baccc baca bccaa
ccabbabc acacca zzzbaabcb cbccbb
cbaccc zzzccabcb cabacccb accbbbcb
bbccacab zzzaabbcb bb bccccc
aa aa ccbccc zzzbb
ccccab bccbcc zzzbcbc caac
acacaac bbccbabc bbaccb zzzbacabba
acacbc bcacba zzzaaaabb cbb
aaaaac cab babcc zzzaabbb
bca cabbbca zzzacccbac aca
acca abacbcba zzzabccbaaa bb
cbaa cbca acbbbbbb zzzacaacabc
aabac abc zzzccc cbcbbb
bcaac bbcca baccabca zzzcbabbbbc
bcb bc zzzbbbbacb caaaaac
zzzacbacba aabcaaa ca aababc
bcbbaca cb zzzbabbb bcbcc
bababccc zzzba bc ac
cbccc aba zzzaaaca cbccbac
cb aabaccc bacbcca zzzaababbb
zzzcca ccb ac acabacb
ccbbacb cab cacabcab zzzaab
bcbccbbb zzzbabbbba abbbacc bacb
zzzcccaca cccabc cacbcc bbabaac
bababa aaa abcaa zzzbcbbb
cbcacbb bc cbcbcaab zzzcabaccaa
ca zzzcaccaaca acaacabc bca
cbabbaca zzzbaaacaab abcbc cb
ac zzzcacacca ba babbbbc
ba zzzaabacaaa ccabc bbbcbbba
cbcccbaa zzzaababccc ab babacbcc
abacccb zzzcbca bcacbc acac
aab baaacabc ba zzzccabbbca
abaa bab zzzbbbb bbaa
cca ac cbbac zzzbbb
acbaccab cbcb babbcc zzzacac
bcbbc baabb zzzcc ab
cbacbc bb zzzaacaca accaca
zzzaaba acb aabb cbc
bbabb cbbc zzzbccca aa
ac zzzbac aaa aabbbcac
bcbbab bbbcc babbbabc zzzcbacbbac
zzzbab aaa cbcbca bacc
cbbcbb zzzbcca caaa bb
aa zzzbcac abca ccb
zzzacb cba cbcb baccac
accbbbb zzzaabcaba abac bbbbbbc
ac acbcab zzzab acca
ccbaaaac aabaaccc bacc zzzbbba
babaaaaa zzzaabca cbcac bcbccacb
zzzccbcaccc aacacaac abcabbbb ab
bcba bacacac aabccaaa zzzabca
cacabb abaa baccac zzzbbbabc
babbab cb zzzaa bacabcab
zzzcba acabcacb abc aaaccab
zzzbbabbca caaaaab aaacb cbbbcbaa
bc zzzacc ccc cac
cc zzzaccccc ccacb ababcc
ababaa abb aababba zzzcbc
zzzbbccccbc ab bcbabb cccccbbc
cabbbbcb zzzaaccaaaa acc cabcca
zzzcb cb accbcb aabac
ac ac babccaac zzzabaabaaa
zzzbbacbb bc abacab babbbc
zzzbab cbbbaca aaa aaab
bcabbcca zzzbcbccbcb ccb cc
cababcbc zzzbaaccaab babb aacc
acaa cbabbb zzzccac bbacbbc
ca zzzcc ccc bba
bcbabbca zzzaa cc cacaa
bcacb cbcacbc zzzacaabbb cccacca
cba zzzbcb bcbcaa accbab
bbacbcba zzzabccaa babaca acbbccba
caacbbc zzzcaccbbbb bcaabaac ac
zzzbabab accca babacac aaac
bcc bbaa bbacba zzzabb
cbbacc bcababaa zzzacbcaa bac
acb accb zzzacca cbbb
acb abcac zzzabacc cbcbc
aabbaaac babccb zzzcbcaab baabccba
acabb zzzabbba aabab acabc
bbacca zzzcbcbbc baaaba acaa
zzzacbbc bcac cab aacba
ccbc cbcac acccacb zzzbaccc
baccbaca abcccac zzzcabb bacb
bbccbbac cabaacb zzzaab cbb
abbbacab aacaab zzzccc caa
zzzbca ca aab bbba
cc zzzcbbcb bccbb abbab
ccbacba zzzbbbaaac aacaacc ba
ab accbac zzzccabbb aa
aaa aabbb zzzccb babc
bacb bbbcbbcc zzzaaba bbbacac
cbb acbbaba zzzcbbb ccac
zzzcc ac abcaaba baacaccc
zzzaccc abbc ccbcb bbbc
zzzcb ccaabcca cacc bb
aacbcbcc abccbcc bccbccaa zzzabbbaabc
zzzca ac aac ba
zzzbaac cbab acaaacac cbcbbb
bcabcca zzzccc cacbbbc acb
bbabb zzzaabba cca bbccaa
cacbc abbb zzzbccc bbbcba
aaa abbacbc abaa zzzacbaaaa
zzzac ca baa bcc
aabcc zzzabac aac babc
acbcbc zzzbbbaaa accbca bbcbacbb
bbc bbca zzzbcb cbbbbab
acbac zzzbcc cca aac
zzzbbbacc aababa aa cb
cabacba zzzbcccaac aabacc aaacbaa
cbcc zzzaba cbc cacccab
bcbbacbc zzzcccbabab aaa accabbbb
zzzaa cbbacab aa cccbac
zzzaabbcb accbbc cc aaccabca
zzzaccbbb bbabcb bbabbbab bbaacbb
ccaca aabbcaaa zzzccaaaab cbaaaaa
cbbbcc bbabcaba zzzababca cccabac
abcbbb zzzaabbbc abbbaaa bac
baaac abba zzzacbcb cc
accaa bbcaaab zzzccbc cccc
cbbbb cbbac aaccb zzzacbaa
cb zzzaba bcbbbac bbb
bacca cabacab abbabbc zzzaccbacc
aabbbc caacbbbc zzzaaaaaacc aaabcbbc
zzzccbba aabbb bacb bbacaa
cabcc abaaacca abb zzzbbabbbcb
bacc zzzaa aa cabaac
abcaaa ccbbacac ba zzzcacbcc
ca aaca zzzab cb
caccbbaa aaaaaa zzzaccaacbb caacccc
zzzccacbac bbb acbbacc cabcaac
ccc caa zzzbac abbcaab
zzzccabab caacca caaabcac abaccbaa
abbcbca zzzabaccaa bbabaaaa cbaba
zzzbcbcca acabaac ccb aabaca
aaac aabb aacb zzzccaa
abbbabcc bbabbbb zzzaababcca aaaaabcc
babca cb caacabca zzzbabccacb
zzzbabb accabaa cbcb cbbcb
aaca ccc bac zzzcbc
zzzcbcaccac bcbcabcb cc cacaa
zzzcbccba ba acbbab aa
bbbb zzzabacbaba bacaaac ababbccb
zzzaa aabaaa ba acaccaa
zzzaab bcbb aacac aab
bbc ac zzzbc aabbcba
bbbaa aaac cbab zzzbcbb
zzzaabbccc ccabb ccbaaab bcaccbcb
caaacbac bacabca bc zzzcaaaaac
zzzcaab ababb bbaa bbba
cacca abcabb zzzaccbbb ccbc
aa bbbac aacc zzzac
zzzabbcaabc cbaccca cbbaaaac aacaaabb
abcbbcca ba zzzbaa bab
bcaabc cacab bcabcb zzzbabbca
ccccc abaacbba acccab zzzcbccaa
babcac bb zzzca bcbca
baaacac zzzaa aacac ab
cb bcacaccc zzzcbabbabb abbccbcc
bbcacbab abbbabb zzzcabcbba ccccac
acb caabb zzzcbb bcccb
zzzabcb acca babcac baa
aa bc cbbcccb zzzbc
abaaab zzzbbcacac bbabc bcacacc
ccabbb zzzcbaaaa bba caa
zzzbcaaac ccbbab babbaa cab
bacbccc acc caccbaa zzzbcacbbc
aab ccbcb caa zzzabc
cbcbca bbbbbba zzzabacaba bacb
bbcbaacc bbcc cacbab zzzaccc
zzzcbbcaca acacbaba cbcbcb aacabac
cacc aaa ccacc zzzcabab
cbaaa cbabcb zzzbaaabc bcb
caca cbbcba zzzaccc acaccca
caac zzzbcc bca cacb
zzzcbb ac acc acccac
cc zzzcc aacbccaa ba
zzzccabc abb abb cbbab
ab ba zzzcc bbab
cbcccbb zzzacc abcac acc
ac abacac accaac zzzbbcbca
bbacbc bacabbbb aaaabcb zzzacbbcac
bccc aaabc zzzcbbc baabaaba
bbcbaccb baaccca ccbb zzzcbac
abcaccaa baacaca zzzcbaacbaa ccbcb
aaaabaca abcac zzzcabba bbbb
baa zzzba ca ccbcacbc
ababc zzzbccb cacc bcab
acbccbc aabab cbccccc zzzcacaa
aacaacab zzzacaaaccb bcbb cbcbc
ba zzzacbacbca cacca ccaabbac
zzzbbccc aaacb bccbc abbcc
bbcacc cbac cb zzzbbbc
bcbb abcabb zzzacaaabbc bbbbabcb
zzzbaba aba bbba bbba
acb ccca baabb zzzbcbca
bccaabb abca bbaa zzzcbac
aaccbba caab zzzaaab aabc
bacaab zzzcbbccb cbbbcc cccbabc
accbcbac bcaaacba ab zzzab
bbaacc cc zzzbaabaccc ababaacc
accaac acab bbaab zzzcbbac
bcb abca zzzccccc aacbb
ccaacccc cb ccca zzzaa
aaba cbb abbbcc zzzbbcb
acccaac cabcbbc zzzcaabcaa abcbaba
baababb zzzabcbbbc cabac accbabc
bbc aabbcbaa zzzbbb bbbcac
bccac zzzaacbccc bccccbc acab
ccacaaaa ccbabbac cbaa zzzbcacaaac
abcbaa cc zzzaa cac
aaa aaabc acc zzzccc
acba acc zzzac aa
zzzac cacacacc cbaabccc ac
accbbc zzzaa baaabac ba
cc aa zzzacb acb
ccbc zzzcb ac cacabbc
zzzccbaccb bacabab cacbb bcab
zzzbaabcaac cabaa ac cbccbcbb
cbba zzzabab acbc accbabc
abc cbacbcaa cac zzzccbbcaaa
zzzacabca abcbca ac cb
abba babac ccbcbbb zzzbbaabba
acb abac ccaab zzzabc
cbacaca bacaac acaaccb zzzcaccabc
cabbc zzzcabcc bcb aaccb
zzzbc bbcb cb cb
zzzcab acbcccc acbbc bac
bacba zzzbab caabba cac
ba baaccb zzzac abba
cbabba aaa bcbbaa zzzbbbcac
cbbb abbba aacaccb zzzcbbb
caacc acabab aabc zzzcbaaa
cbcba cb cc zzzba
bbaacca baacaa bcbbb zzzbaaba
abcaa cc zzzacac bcca
ab zzzbbcbcba caabbaa ccb
zzzbabaca aabbac bcb aaacaa
zzzababcac ccbcccc bca abab
cc zzzbbcbaca bcbabba cabbcaa
ca bcccbbaa bcbbaab zzzba
cacacbc bacccac abbcb zzzbcbabab
cbacbcbb zzzbbaabbb bcabbb abbbaab
zzzaacbac cb bc acbabc
abcbaa bbcaaac zzzbcbaaba bba
cbca acaaca cccaca zzzccabca
accbbaac zzzaccab baaba abbc
aaccbaa abab abcba zzzccabb
cbbcb baacb bcbbbac zzzcacacba
bcbcaabc bcc baccbcba zzzccaaacba
zzzbaaaabab baac aacbac aabbbabb
zzzbcccaac babcccb abccb aaaaacab
acbcaa abbc zzzaaabcb abbcbb
aacaaa aaaa zzzaaba bcb
bcac bacababb bbbaccbc zzzaaab
ccbabab zzzbbbbc abbab abb
caacc zzzbbbca abbccacc bacaaac
zzzcb ccaabaaa bcaaccca aa
bcbc caabca zzzacbcaacc aacbaaac
zzzaac cbb ccab bba
zzzac baccb ac acbaa
aacb zzzaaabc babca cac
aba bca ba zzzcb
zzzacaccaab abccbaa acbbaacc bbcca
zzzcbacbca babcbca bcbc ccb
cbccb zzzcacb cabb bbababbb
zzzcaacacbb ababbcbb cc ca
bcabb ccacab zzzbacaca aacbcb
zzzccbacb bcccca aabbcaa caabcaa
ababbcb ccbc ca zzzba
zzzbbbabbb cbcacab babac bbbbaaa
acbbca baccaba accac zzzaacbbb
ccaaa ca abcacb zzzabbaa
ac acbab zzzab caaa
abccbac cbcb zzzbacbbcc acccac
zzzaccc accacbb bbcb bcaba
bbc ccbbbcab ac zzzab
bc acbccbba zzzcacccbbc cacacc
bacbbaac cb zzzabb bcc
bba acaa bacaccba zzzbac
cb caac ccbcac zzzcb
cabaccaa bbabaacb bbcacab zzzbaabacab
zzzbccbcac bbabc ab abbaaca
ca aabacc zzzacaabb bccc
cacbcabc bacabbba bba zzzaaabbacc
zzzbcb ca bcb bcaa
ac zzzab baaacaaa abcaa
aabccaba bcbb bcacac zzzbbacac
bbbcbc baacccb zzzacbbbb baabbbb
zzzaaacbba cbca bcca bbccaac
zzzbabcac cacaacc ccccca cccccac
cca ababbbb ccca zzzcbab
babaccac cc zzzcbccbaac aac
bca zzzaaa bbbaabaa bbba
zzzccaabc bcc bbbbbcbb bbacab
zzzabccabc baa ccaacba aca
bccb abbccb zzzcccb ab
accab zzzccbbc cabb bb
aaabbb cabbcac zzzbb ac
cbb ba abaca zzzcaccc
cbaaba bacbcbba zzzbcbbcabc ccaccbcc
abcbcaa zzzacaccab bbcba acabccb
bbcbb aaabbb cacba zzzcabac
zzzbbcc ccbb bcacbbb bba
cabbaab zzzacc abc cbcbcacc
bbccabba ccacab ccc zzzbab
ccbbac acbaa zzzbcbbcc cacba
caabbcac baac zzzcbbbbaac bc
abcb cba abaab zzzaccc
acaab zzzaca aba cccaaaca
zzzaaacbba cccc ccbbcbb aaaaca
bcccca bbac cba zzzcacbac
acaa cca zzzaba bb
caaabb ccccbac bcccbac zzzcaccbcc
bccba bcb ab zzzbb
